Model,MAE,MSE,RMSE,R²,MAPE (%),Train Time,CV R² Mean,CV R² Std
Gradient Boosting,7586.39,100457098.34,10022.83,0.9487,6.2,3.349,0.9448,0.0055
XGBoost,7753.12,105780605.32,10284.97,0.946,6.28,0.884,0.9398,0.0056
Linear Regression,9401.09,146399273.59,12099.56,0.9253,8.28,0.007,0.9202,0.0039
Lasso Regression,9395.85,146458386.3,12102.0,0.9253,8.26,0.223,0.9202,0.004
Ridge Regression,9400.04,146623307.06,12108.81,0.9252,8.27,2.453,0.9202,0.0039
Random Forest,15565.06,434434646.73,20843.1,0.7783,13.51,3.458,0.7658,0.0123
Decision Tree,20420.65,721370625.87,26858.34,0.6318,16.82,0.149,0.5767,0.0849
